film,sinopsis,genre
Kesurupan (Aug),dua sahabat yang bertemu dalam ospek di universitas tarumanagara alin (shareefa daanish) yang nyentrik dan felina (nia ramadhani) yang cantik mendapatkan kengerian kala mereka mengikuti kegiatan ospek lanjutan yang bermenu acara jurik malam dan menginap di hutan kayu mati sukabumi. felina mendapat perhatian lebih dari seorang panitia ospek yang tampan marik (andhika pratama) yang kebetulan menjadi pemimpin kelompok jurik malam alin dan felina bersama kedua teman mereka erna dan dea. saat mencari rute (dan tersesat) di hutan pada siang hari mereka berlima terperosok jatuh kesebuah lubang tanah yang ternyata berisi banyak tengkorak manusia. lubang tanah itu juga berisi sebuah boneka yang berdesain menyeramkan. alin mengambil boneka tersebut tanpa menyadari risikonya. saat perjalanan keluar dari ketersesatan mereka bertemu dengan seorang lelaki bisu dan saudaranya yang tampaknya merupakan siluman babi dan ia bisa berbicara. malam harinya alin mulai kesurupan saat tengah bermain dengan boneka itu seusai acara jurik malam. saat acaranyapun alin didatangi tiga roh seorang kakek-kakek seorang ibu muda berkebaya dan seorang gadis cilik. setelah malam kesurupan (alin berhasil ditolong kedua saudara itu) alin kembali ke rumahnya diantar felina. namun itu tidak mengubah keadaan dan memulai teror untuk keluarga alin yakni ibu alin dan kedua pelayan rumah mastur dan onah. alin secara aneh mulai kesurupan dan hal itu terjadi terus menerus. selaku sahabat marik dan felina juga bersimpati dengan bergiliran menjaga alin dirumahnya. saat felina menjaga dan hampir membunuh sang ibu memutuskan untuk memanggil orang pintar. orang pintar pertama seorang lelaki yang tidak berhasil mengeluarkan setan itu dan malah menjadi tambah parah. orang pintar kedua mak piah seorang gadis paruh baya dengan dandanan nyentrik membuat ramuan saat alin kabur dari rumah dan dengan kesurupannya membuat satu korban. ramuan itu diwajibkan diminum alin seusai kesurupan alin. dan ramuan itu membuat alin semakin membaik. tapi alin mulai kesurupan lagi. mak piah memberikan deskripsi hantu itu. 3 roh yang biasa dilihat itu adalah peliharaan penunggu hutan kayu mati ki sarwana armadirga. setelah kesurupan untuk yang kesekian selamanya (dan dikasur alin alin selalu melingkari dan ajaibnya ia selalu bisa melepaskan diri) felina mengambil kesimpulan bahwa boneka yang dulu alin bawa dari kuburan itu adalah alasannya. saat ingin dibakar alin berteriak dan boneka itu raib. keesokan harinya semua orang berkumpul. mak piah diberikan boneka itu oleh onah yang ternyata mengambil boneka itu semalam. mak piah memberikan ramuan untuk alin yang membuat alin tidak akan kesurupan untuk waktu tertentu. sementara itu felina dan marik diberi tugas untuk membawa alin ke hutan kayu mati dengan membawa serta boneka itu untuk dikembalikan ke kuburan sesegera mungkin.,Horor
Wewe (Aug),ketika aruna berusia 5 tahun hilang sanak saudara prihatinnya mulai mencari dan mengungkap hal tersembunyi yang terletak jauh di dalam rumah baru mereka.,Horor
Tabu: Mengusik Gerbang Iblis (Aug),ketika enam rekan sekolah menengah terbaik memecahkan hutan terlarang dan melanggar semua aturan di sana kejahatan mengikuti punggung mereka dan menyebabkan tewas di antara mereka sendiri.,Horor
Wewe (Aug),"ketika aruna yang berusia 5 tahun hilang, keluarganya yang khawatir mulai mencarinya dan mengungkap hal tersembunyi yang tersembunyi jauh di dalam rumah baru mereka.",Horor
Rumah kentang (Aug),"farah dan rika adalah saudara perempuan yang mewarisi rumah ibu mereka setelah meninggal mendadaknya. dengan tidak adanya tempat lain untuk pergi, mereka terpaksa pindah ke tempat ibu mereka yang terlambat. rika di sisi objek lain untuk bergerak namun farah mengabaikan izin saudaranya. setelah mendengar desas-desus yang tak terhitung banyaknya tentang rumah yang dihantui dan disebut ""rumah kentang"" (trans: rumah kentang) farah mencoba yang terbaik untuk menjualnya tetapi tidak berhasil. namun rika merasa tidak nyaman karena gerakan itu tiba-tiba menyerang ketika dia sendirian di rumah. farah menyesal tidak mendengarkan kakaknya dan memutuskan untuk mendengarkan cerita tentang rumah-rumah yang lalu. apa agenda tersembunyi yang ada di balik dinding rumah ibu mereka? farah segera mengungkap mengapa rumah itu disebut apa itu; rumah kentang.",Horor
The Returning (Aug),"seorang janda yang berduka mendapati suaminya kembali dari kecelakaan secara misterius, tetapi makhluk misterius mulai muncul dalam sanak saudara setelah sang ayah pulang.",Horor
Misteri Wanita Berdarah Dingin (Aug),seorang perempuan yang terbunuh kembali ke kehidupan sebagai hantu yang berubah bentuk yang dapat berubah menjadi serigala.,Horor
Genderuwo (Aug),hantu menghantui novelis gila yang mengancam seorang perempuan yang tinggal sendirian di sebuah rumah,Horor
Janin (Aug),"randu (reuben elishama hadju) dan dinar (jill gladys) senang karena dinar mengandung anak keempat. namun, kebahagiaan mereka perlahan hilang ketika seorang perempuan paruh baya, sukma (...",Horor
Kain Kafan Perawan (Aug),semua berawal dari rasty dan kelima rekan smitha debby marchel harry dan dhana mencoba membuat video klip milik rasty di sebuah stasiun kereta api. ketika mereka sedang meng-edit video tersebut terlihat sekilas penampakan yang aneh ini membuat rasty ingin kembali ke stasiun kereta tersebut untuk membuat sebuah film dokumenter horor untuk dijual ke stasiun tv. ternyata ketika mereka mencoba membuat film dokumenter di stasiun banyak teror-teror dan penampakan yang mereka temukan. bahkan merenggut korban teman-teman rasty. feli dan sarah dua gadis yang berprofesi sebagai fotografer tiba-tiba mendapat telpon dari pihak polisi kalo rekan mereka rasty telah ditemukan dalam kondisi pingsan dengan luka disekujur tubuhnya dan sekarang tengah dirawat di rumah sakit. seperti dikutuk ancaman terhadap rasty terus terjadi bahkan ketika di rumah sakit ancaman tersebut sering terjadi. feli dan sarah pun juga ikut dihantui setelah mereka pulang menjenguk rasty. feli dan sarah coba berbicara dengan paranormal tentang kejadian aneh ini ternyata di stasiun tempat di mana rasty membuat video klip adalah tempat yang angker di mana ada seorang gadis perawan yang diperkosa dan dibunuh di salah satu gerbong kereta distasiun itu. dan untuk mengakhiri ancaman ini mereka harus mengambil sobekan kain kafan dari seorang gadis perawan yang sudah meninggal dan sobekan tersebut harus dibakar. dengan bantuan fikri seorang polisi akhirnya feli dan sarah berangkat mencari kain kafan perawan dan hendak membakarnya di gerbong yang katanya angker tersebut. ancaman hantu tersebut semakin menjadi-jadi bahkan ketika mereka tiba di stasiun tersebut sarah dirasuki oleh hantu.,Horor
Kain Kafan Perawan (Aug),semua berawal dari rasty dan kelima kawan smitha debby marchel harry dan dhana mencoba membuat video klip milik rasty di sebuah stasiun kereta api. ketika mereka sedang meng-edit video tersebut terlihat sekilas penampakan yang aneh ini membuat rasty ingin kembali ke stasiun kereta tersebut untuk membuat sebuah film dokumenter horor untuk dijual ke stasiun tv. ternyata ketika mereka mencoba membuat film dokumenter di stasiun banyak teror-teror dan penampakan yang mereka temukan. bahkan merenggut korban teman-teman rasty. feli dan sarah dua gadis yang berprofesi sebagai fotografer tiba-tiba mendapat telpon dari pihak polisi kalo kawan mereka rasty telah ditemukan dalam kondisi pingsan dengan luka disekujur tubuhnya dan sekarang tengah dirawat di rumah sakit. seperti dikutuk gangguan terhadap rasty terus terjadi bahkan ketika di rumah sakit gangguan tersebut sering terjadi. feli dan sarah pun juga ikut dihantui setelah mereka pulang menjenguk rasty. feli dan sarah coba berbicara dengan paranormal tentang kejadian aneh ini ternyata di stasiun tempat di mana rasty membuat video klip adalah tempat yang angker di mana ada seorang gadis perawan yang diperkosa dan dibunuh di salah satu gerbong kereta distasiun itu. dan untuk mengakhiri gangguan ini mereka harus mengambil sobekan kain kafan dari seorang gadis perawan yang sudah meninggal dan sobekan tersebut harus dibakar. dengan bantuan fikri seorang polisi akhirnya feli dan sarah berangkat mencari kain kafan perawan dan hendak membakarnya di gerbong yang katanya angker tersebut. gangguan hantu tersebut semakin menjadi-jadi bahkan ketika mereka tiba di stasiun tersebut sarah dirasuki oleh hantu.,Horor
Tiren: Mati Kemaren (Aug),"karena tak sanggup menerima tewas putrinya yang begitu mendadak dan misterius, sang ayah sengaja membiarkan kain kafan tewas sang anak tetap terikat saat pemakaman agar putrinya menjadi bebas dan mengambil ...",Horor
Maaf saya menghamili istri anda (Aug),dibyo (ringgo agus rahman) adalah pecundang lahir alami yang nasibnya berubah pada suatu hari ketika seorang gadis cantik mira (mulan kwok) jatuh di atas neraka bersamanya. kisah cinta mereka berjalan terlalu jauh dan mira menemukan dirinya hamil dengan anak dibyo. sayangnya tanpa diketahui dibyo mira masih terikat secara hukum sebagai istri lamhot (eddie karsito) penjahat besar. lamhot menjadi gila ketika dia tahu tentang hal ini tetapi dia cukup pintar untuk menghukum dibyo dengan cara yang tidak biasa: dengan memaksanya untuk menikahi adik perempuan lamhot yang sama keras kepala butet (shanty). bisakah dibyo lolos dari rencana mengerikan ini?,Horor
Pocong vs Kuntilanak (Aug),kisah cinta di zaman belanda yang berakhir pada sebuah penolakan. membuat sang cowok raden soekotjo membalas dendam kepada nyi soroh yang lebih memilih von klingen sebagai suaminya. raden soekotjo yang berniat membunuh kerabat von klingen berhasil dibunuh oleh kuntilanak yang dipelihara nyi soroh. raden soekotjo yang diserangpun sebelum kematiannya meminta agar tali pocongnya tidak dilepas dan akan membuat dirinya gentayangan dan memburu garis keturunan von klingen. dimasa sekarang vonny keturunan nyi soroh malah terlibat cinta dengan marcell yang mana adalah keturunan anak raden soekotjo.,Horor
Rasuk 2 (Aug),"isabella (nikita willy), seorang mahasiswa kedokteran yang sedang menjalani magang, merasa tidak nyaman dengan kemampuan indra keenamnya. ia berusaha keras untuk menganggapnya tidak ada, agar ia bisa eksistensi normal. ...",Horor
Golok setan (Aug),"pedang devil terletak tersembunyi di gua hal tersembunyi di dalam gunung setan segala kejahatan akan terjadi sampai mati karenanya... ""karena siapa pun yang memiliki pedang akan memerintah kerajaan!"" empat prajurit menyerang penjaga gunung dan mencoba memaksanya untuk menyerahkan peta yang akan membawa pedang mereka. kiper yang disiksa melarikan diri dan berlari ke mandala harapan yang setelah mendengar upaya itu memulai perjalanannya sendiri untuk menyelamatkan pedang devil. dia memiliki banyak pertempuran penggerutu darah di sepanjang jalan dia diserang oleh buaya jahat dan bertemu dengan banyak penjahat jahat yang mencoba untuk memasuki gunung. akhirnya mandala menangkap hadiahnya - dapatkah dia memanggil para dewa dan menggunakan pedang mistis melawan para pejuang yang mengamuk dengan kekuatan gaib mereka yang luar biasa? akankah dia memenangkan pertarungan dengan ratu buaya yang sangat membutuhkan pedang devil dengan biaya berapa pun?",Horor
Tiren: Mati Kemaren (Aug),tiren: mati kemaren mengisahkan tentang seorang perempuan cantik bernama ranti (dewi perssik) yang ditemukan meninggal secara mendadak. bukan sampai disitu saja wafat ranti juga bisa dibilang misterius karena tidak ada yang tahu apa penyebab wafat tersebut. bahkan polisi pun tidak bisa menemukan apa ataupun siapa yang bertanggung jawab atas wafat ranti. hal tersebut tentu saja membuat ayah dari ranti begitu naik pitam. ia merasa harus ada seseorang yang bertanggung jawab atas wafat misterius dari putrinya tersebut.,Horor
Malam Jumat Kliwon (Aug),film dimulai dengan seorang cewek di suatu rumah yang sedang hamil tua ia di santet lalu tiba-tiba ketebalan bergejolak dan banyinya berpindah ke belakang perut di bulatan tempat banyinya menggembung hebat dan meletus mengeluarkan darah dan seorang bayi dari sana.,Horor
Pocong setan jompo (Aug),"lima orang pelajar yang semula normal berubah setelah kedatangan seorang cewek misterius yang mengaku sebagai pengurus sebuah panti jompo. cecil (uli auliani) mahasiswi komunikasi yang cerdas baru saja putus dengan ridho karena menonton basah selingkuh dengan mahasiswi lain. joni(rizky mocil) anak rantau dari garut yang santai menjalani kuliah dan emilio (herichan) sobat karibnya yang setia dan sering menjadi korban kejahilan joni. pagi itu tiba-tiba mereka berlima dipanggil untuk menghadap pak dekan dan mendapatkan tugas membantu suster saskia cewek misterius untuk mengurus panti jompo. mereka sempat memprotes pak dekan tetapi ketika suster saskia muncul, mereka terhipnotis dan menyatakan kesediaan mereka untuk membantu tanpa ragu-ragu. tanpa ada yang menyadari bahwa mereka baru saja mengadakan perjanjian dengan setan yang sebenarnya tidak hanya membutuhkan tenaga tetapi juga nyawa mereka.",Horor
Gondoruwo (Aug),rumah tua yang dulu dimiliki orang belanda kini ditempati oleh kerabat gunawan. istri gunawan adalah gadis nakal suka serong kendatipun sudah memiliki anak. ada misteri di rumah itu yakni tersimpannya harta karun. yang sedikit mengetahui hal itu adalah pembantu lama dogom. pembantu ini berusaha tetap setia karena memang ada ambisi untuk memperoleh sekotak harta karun yang ada di rumah itu. dogom sendiri tidak tahu bertahan di mana letak kotak harta karun itu. maka dogom lalu berteman dengan makhluk halus gondoruwo yang memang selalu bergentayangan di rumah itu. dengan demikian ketenteraman kerabat gunawan terus terganggu. diketengahkan pula seni debus tradisional.,Horor
Wewe (Aug),"ketika aruna yang berusia 5 tahun hilang, keluarganya yang khawatir mulai mencarinya dan mengungkap hal tersembunyi yang tersembunyi jauh di dalam rumah baru mereka.",Horor
Kelam (Aug),"setelah donor jantung, sasha pulang ke rumah dan sesuatu terjadi. nina berasumsi bahwa itu karena donor jantung yang dia dapatkan dari tiara dan dia menghantui rumah itu. nina, harus berjuang dan menyelamatkan sasha dari ancaman hantu anak itu.",Horor
Arwah Tumbal Nyai the Trilogy: part Arwah (Aug),"syurkiani (zaskia gotik) sangat penasaran kenapa dirinya selalu dilarang oleh neneknya, lela (minati atmanagara), untuk belajar jaipong. diam-diam shurkiani mendatangi nyi imas (dewi gita), mantan penari jaipong untuk belajar menari. nyi imas meminta syurkiani memukul kendang misteri sebanyak tiga ketukan sebagai syaratnya. namun, syurkiani memukul kendang tersebut empat kali. setelah kejadian itu nenek syurkiani meninggal diserang makhluk gaib. syurkiani juga menjadi sasaran makhluk gaib karena ia memanggil arwah dengan memukul kendang empat kali. syukriani bersama pacarnya, shakti (shakti arora), berusaha melepaskan diri dari seranganmakhluk gaib itu. akhirnya syurkiani mengetahui bahwa makhluk gaib itu berhubungan dengan meninggal neneknya. bahkan dari kejadian tersebut syurkiani menemukan ibunya yang tidak pernah dia ketahui.",Horor
Mata Batin 2 (Aug),film ini menceritakan tentang seorang gadis bernama alia (jessica mila). yang mana setelah kedua orang tuanya meninggal memutuskan untuk meninggalkan bangkok dan kembali ke jakarta. ia dan adiknya yang bernama abel (bianca hello) pindah ke sebuah rumah tempat mereka tinggal diwaktu kecil yang mana rumah tersebut jauh dari tengah kota. namun abel yang sering merasa aneh dan juga ketakutan dirinya tak menyukai rumah itu. katanya di rumah itu ada ‘yang lain’ selain mereka berdua.,Horor
The Returning (Aug),"seorang janda yang berduka mendapati suaminya kembali dari kecelakaan secara misterius, tetapi makhluk misterius mulai muncul dalam rumah tangga setelah sang ayah pulang.",Horor
Genderuwo (Aug),hantu menghantui novelis gila yang mengancam seorang cewek yang tinggal sendirian di sebuah rumah,Horor
Bujang jelihin (Aug),"bujang jelihin (chairil jm) lahir setelah ayahnya, dipati pulau panggang (wd mochtar), bertapa berbulan-bulan. hasilnya, jelihin menjadi pemuda yang sangat tampan dan memiliki ilmu tinggi yang dibawanya sejak lahir, termasuk memiliki senjata pamungkas yang entah dari mana. namun, perjalanan hidupnya tidak otomatis menjadi mulus. ketika hendak kawin dengan gadis pilihan hatinya, remelum (yenny farida), ada saja perempuan lain yang naksir jelihin datang mengacau dan membatalkan pernikahan itu. akhirnya jelihin ingin kehidupan membujang dan menghabiskan umurnya dengan bertapa. kegigihan remelum membujuk jelihin membatalkan niatnya, dan berhasil membuat ia dapat kehidupan bersama dengan pemuda itu.",Horor
